,city,population,violentcrime,murder,rape,robbery,aggassault,propertycrime,burglary,theft,vehicletheft,arson,firecount,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,yearly median
0,Hanford,57232,257,0,18,40,199,1242,131,900,211,15,10,208144.0,208886.5,208928.5,208596.0,209062.5,209226.0,209146.0,208906.5,209243.5,209646.0,210756.5,213125.5,209104.25
1,Redlands,71941,257,1,40,70,146,2108,330,1534,244,20,3,429388.0,428339.5,428394.0,428854.5,430418.5,430988.5,431227.0,433337.5,435738.0,438494.0,439358.5,440008.5,431107.75
2,Glendale,202601,231,5,16,93,117,3305,480,2562,263,13,277,854487.0,852139.0,849620.5,848568.5,849746.0,852006.0,848913.0,848468.0,850573.0,857070.0,860846.0,865203.0,851289.5
3,San Bernardino,216715,2858,46,140,906,1766,9081,2029,4974,2078,75,22,266930.0,268016.0,269785.0,271124.0,272944.0,273867.0,274452.0,275822.0,277041.0,278795.0,279903.0,281112.0,274159.5
4,Grass Valley,12919,73,3,0,6,64,463,76,326,61,1,7,400377.0,399443.5,400544.5,405139.0,406816.5,405919.0,402539.5,400859.5,399217.0,398306.5,398893.5,401141.5,400702.0
5,San Clemente,65018,87,1,3,29,54,918,160,700,58,4,25,1025212.5,1023399.0,1024563.5,1026832.0,1030890.0,1031889.0,1035573.5,1038347.5,1044498.0,1046669.5,1043087.5,1039332.0,1033731.25
6,San Luis Obispo,47735,192,0,44,34,114,1738,277,1387,74,25,4,731859.0,731766.0,736393.0,739308.0,743372.0,741471.0,734373.0,733805.0,735289.0,740057.0,739555.0,739474.0,737850.5
7,Fremont,240887,400,1,36,159,204,4523,547,3408,568,17,3,1107787.5,1103822.5,1103707.5,1098956.5,1090527.0,1080254.0,1073585.5,1065582.5,1060474.0,1054337.0,1049268.0,1049423.0,1076919.75
8,Modesto,216542,1758,13,94,399,1252,7183,1149,4849,1185,95,43,286730.0,287242.0,286789.0,289319.0,290254.0,291741.0,290716.5,291209.5,291389.0,293734.5,295003.5,296914.0,290963.0
9,Santa Monica,91621,664,3,40,247,374,3964,577,3143,244,19,1,1435645.0,1424881.0,1410872.0,1404153.0,1407314.0,1412127.0,1389853.0,1376021.0,1370802.0,1392114.0,1400247.0,1408692.0,1405733.5
10,Whittier,86158,213,1,27,93,92,1901,318,1278,305,7,11,556944.5,554562.0,552429.0,551696.0,552253.5,553728.5,551855.0,551748.0,552435.0,556559.0,558927.5,562026.5,553081.75
11,Salinas,156943,782,8,66,241,467,3532,742,1709,1081,26,16,564309.0,568495.0,569684.0,572095.0,571284.5,569809.5,567391.0,566372.5,565821.5,567389.5,569191.0,571015.5,568843.0
12,Paradise,26879,22,0,5,1,16,202,83,51,68,1,7,264523.0,270306.0,275847.0,281341.0,285601.0,287125.0,289195.0,288444.0,286716.0,283523.0,283955.0,284807.0,284381.0
13,Pittsburg,73637,446,7,41,157,241,1660,256,983,421,19,211,589462.0,586794.0,581009.0,573982.0,571342.0,569497.0,572783.0,575204.0,579866.0,580378.0,582957.0,586777.0,580122.0
14,Eureka,26973,195,3,29,63,100,1350,187,977,186,24,1,312977.0,313485.0,313459.0,314137.0,314942.0,316131.0,314860.0,315011.0,314801.0,316692.0,317466.0,318099.0,314901.0
15,Parlier,15384,62,0,2,9,51,179,24,106,49,7,93,186999.0,188436.0,190894.0,193123.0,193730.0,194697.0,196322.0,198746.0,199385.0,200232.0,200682.0,201359.0,195509.5
16,Dixon,20775,54,0,4,14,36,389,35,284,70,3,11,445360.0,444408.0,444830.0,447458.0,449125.0,450667.0,452618.0,454309.0,454619.0,454818.0,452646.0,449804.0,450235.5
17,Richmond,110988,1034,16,36,307,675,4188,469,2480,1239,36,214,591677.0,593940.5,592961.0,591876.0,592845.5,593007.5,590630.5,585908.5,582538.5,582388.0,583082.5,584552.0,591153.75
18,Oxnard,211349,724,13,62,275,374,4242,670,2987,585,48,9,514238.0,514893.5,515967.5,517862.0,519488.5,519338.0,519394.0,520013.0,521985.5,524541.5,525647.0,529144.0,519441.25
19,Santa Barbara,91717,400,2,72,82,244,2118,254,1686,178,15,143,1187735.5,1186698.5,1181084.0,1176348.0,1171214.0,1169865.0,1162422.5,1164139.0,1161236.5,1168487.5,1168901.0,1174691.0,1170539.5
20,Lakewood,80151,222,0,20,104,98,1846,303,1354,189,3,2,584103.0,581284.0,578308.0,577347.0,577503.0,578877.0,577589.0,577872.0,579554.0,583656.0,586990.0,590569.0,579215.5
21,Diamond Bar,56364,72,1,4,25,42,908,282,574,52,2,1,692646.0,688558.0,684564.0,681461.0,680944.0,681608.0,679681.0,679287.0,679614.0,682732.0,683422.0,685165.0,682170.0
22,Atascadero,30579,65,0,7,7,51,493,96,360,37,3,2,530331.0,528864.0,529728.0,532875.0,539641.0,540301.0,536573.0,535303.0,537255.0,540689.0,540728.0,540032.0,536914.0
23,Morgan Hill,46118,52,2,3,14,33,703,102,507,94,0,91,966732.0,954195.0,947796.0,948410.0,947161.0,941957.0,939076.0,938128.0,946219.0,948195.0,951892.0,952589.0,947995.5
24,San Jose,1040008,4559,32,671,1339,2517,25164,4114,14924,6126,135,180,1035629.0,1020952.0,1002734.0,989698.0,996572.0,984679.0,976057.0,972386.0,981577.0,983345.0,986209.0,987595.0,986902.0
25,Lemoore,26728,126,1,17,14,94,372,71,264,37,6,11,254086.0,254617.0,254684.0,254696.0,255381.0,255801.0,255066.0,254081.0,253395.0,253599.0,254671.0,257188.0,254677.5
26,Cotati,7641,40,1,6,5,28,95,15,68,12,1,20,580157.0,576160.0,573400.0,569899.0,570653.0,573481.0,573288.0,572036.0,569130.0,569508.0,566414.0,564821.0,571344.5
27,Shafter,20456,53,0,3,9,41,513,127,298,88,8,44,209110.0,211172.0,212391.0,212430.0,213415.0,215637.0,218403.0,220434.0,221431.0,221426.0,222172.0,222713.0,217020.0
28,Chula Vista,275230,904,3,61,265,575,3816,486,2503,827,36,87,524695.0,522563.0,521645.0,523547.0,524974.0,526978.0,529808.0,531815.0,532154.0,533049.0,535289.0,538399.0,528393.0
29,Windsor,27981,58,0,8,8,42,257,30,212,15,0,146,637939.0,632503.0,628289.0,624215.0,624314.0,626986.0,628959.0,628891.0,627176.0,627008.0,623895.0,623047.0,627092.0
30,Anderson,10545,61,1,5,12,43,363,63,208,92,1,15,235226.0,237310.0,238064.0,238224.0,239175.0,242032.0,243398.0,243848.0,244224.0,245203.0,246216.0,246892.0,242715.0
31,Rocklin,68554,67,0,22,13,32,983,168,738,77,6,3,490310.0,493128.5,493784.0,494265.0,495698.0,495894.5,494678.0,494164.5,495632.5,497016.5,498826.0,501458.5,495155.25
32,Healdsburg,12208,17,1,1,3,12,176,17,142,17,0,269,865916.0,856620.0,851854.0,852628.0,860060.0,865862.0,863916.0,862707.0,857095.0,855885.0,847401.0,840780.0,856857.5
33,Pomona,152776,940,12,101,342,485,4208,816,2529,863,15,42,441417.0,440646.0,439971.0,440638.0,442258.0,444937.0,445113.0,445747.0,447267.0,450598.0,453787.0,457239.0,445025.0
34,Brawley,26379,121,2,4,8,107,618,95,468,55,15,39,210539.0,210017.0,210487.0,212318.0,214339.0,217327.0,219267.0,220085.0,219082.0,218760.0,219107.0,220695.0,218043.5
35,Lodi,67612,237,3,16,88,130,1658,358,1016,284,15,40,398244.0,400368.0,401503.0,400953.0,398659.0,398386.0,397849.0,399772.0,398238.0,394134.0,388425.0,388174.0,398315.0
36,Cloverdale,8910,16,0,1,0,15,116,25,87,4,1,223,559937.0,556734.0,553618.0,550759.0,549965.0,551185.0,551218.0,549920.0,547612.0,547934.0,545049.0,544317.0,550362.0
37,Suisun City,29922,114,0,11,35,68,664,69,479,116,11,62,404922.0,403968.0,404530.0,407615.0,409646.0,410574.0,411964.0,413269.0,415000.0,416153.0,415573.0,413714.0,411269.0
38,Napa,79526,280,1,66,55,158,1232,248,847,137,46,5,719857.0,723871.0,723825.0,721348.0,721049.0,718806.0,714675.0,709056.0,708437.0,710702.0,712443.0,711629.0,716740.5
39,Livermore,91418,193,2,30,39,122,1554,139,1279,136,4,18,804619.5,799473.0,798861.5,798845.5,797097.0,795885.0,794289.0,792643.5,791489.5,790810.0,790252.5,793491.5,795087.0
40,Truckee,16611,31,0,3,4,24,114,36,66,12,1,26,714821.0,713585.0,715633.0,723970.0,726846.0,725552.0,718338.0,715546.0,713854.0,714545.0,717205.0,721401.0,716419.0
41,Clovis,114170,243,0,54,32,157,2276,307,1810,159,6,1,380462.0,381169.0,382794.0,383078.5,381933.0,381412.0,382458.0,384100.5,384083.5,384732.5,384896.5,385460.5,382936.25
42,Woodland,61176,224,3,18,44,159,1488,231,1062,195,52,60,386131.0,384280.0,386141.0,389661.0,390866.0,389652.0,388225.0,389577.0,389950.0,387370.0,384277.0,383336.0,387797.5
43,Soledad,26015,53,0,4,14,35,136,24,83,29,5,3,404593.0,408117.0,410031.0,410707.0,409880.0,411373.0,412150.0,412692.0,411859.0,412035.0,412813.0,413785.0,411616.0
44,Camarillo,69628,58,0,22,16,20,817,100,676,41,2,2,617040.5,615959.5,615747.5,616927.0,617523.5,615931.5,613434.5,613296.5,614979.0,617640.5,618192.5,620667.5,616443.25
45,Gustine,5896,21,0,2,4,15,116,32,54,30,3,6,288534.0,287742.0,287789.0,289921.0,292711.0,294207.0,294161.0,294348.0,294295.0,294387.0,294332.0,294708.0,294184.0
46,San Diego,1441737,5215,50,561,1346,3258,27141,3543,18426,5172,122,37,622241.0,619224.0,618753.0,622508.0,624702.0,625677.0,627345.0,629137.0,629239.0,629472.0,630810.0,632643.0,626511.0
47,La Quinta,42044,68,5,5,17,41,1032,158,809,65,1,17,460060.0,461338.0,463229.0,463767.0,463738.0,463956.0,466191.0,468287.0,469406.0,470749.0,470457.0,472527.0,465073.5
48,Lafayette,26872,4,0,1,3,0,358,42,286,30,0,1,1299510.0,1292285.0,1284296.0,1282915.0,1283004.0,1286567.0,1286138.0,1287472.0,1284871.0,1288943.0,1298875.0,1309479.0,1287019.5
49,Sanger,25443,156,0,9,15,132,304,59,178,67,0,13,266447.0,267197.0,268838.0,269425.0,268577.0,268238.0,269038.0,270566.0,270631.0,271161.0,271681.0,272520.0,269231.5
50,Dublin,66072,107,0,7,43,57,1259,114,1052,93,3,10,966313.0,960486.0,959444.0,959260.0,957218.0,954548.0,952571.0,949093.0,947247.0,945741.0,944960.0,947774.0,953559.5
51,Lakeport,4959,34,0,3,7,24,160,29,110,21,0,9,292164.0,290885.0,289092.0,286681.0,285624.0,281201.0,277617.0,273979.0,274875.0,275421.0,276460.0,276377.0,279409.0
52,San Mateo,106020,266,2,45,68,151,2217,516,1523,178,9,1,1595204.0,1585478.0,1580351.0,1580905.0,1581518.0,1572406.0,1565605.0,1552838.0,1556175.0,1551117.0,1552558.0,1553591.0,1569005.5
53,Rohnert Park,44131,267,0,28,28,211,786,93,615,78,8,1,563622.0,558957.0,555791.0,552951.0,554426.0,557973.0,560189.0,559289.0,557060.0,556765.0,554368.0,553835.0,556912.5
54,Hesperia,95915,462,8,35,111,308,1664,443,893,328,17,3,291725.0,292471.5,293619.0,294517.5,295825.0,296484.5,296699.0,296824.0,297007.0,297957.0,299078.0,300250.5,296591.75
55,Fort Bragg,7366,32,0,5,7,20,316,38,262,16,1,3,447381.0,448848.0,445620.0,441328.0,436816.0,435663.0,433382.0,430176.0,427404.0,426014.0,422227.0,419302.0,434522.5
56,Ukiah,16197,110,1,9,24,76,298,117,147,34,23,45,409926.0,411709.0,408293.0,404013.0,399321.0,398502.0,397881.0,396979.0,395871.0,394936.0,391113.0,388038.0,398191.5
57,Santa Cruz,65263,389,0,29,88,272,2932,348,2363,221,34,3,937183.5,942390.0,938751.0,941473.5,934032.0,932291.5,927521.5,921461.0,919584.0,921357.5,921414.0,919781.5,929906.5
58,Pleasanton,84017,112,0,12,56,44,1632,149,1386,97,4,1,1182741.5,1175936.5,1175095.0,1173718.5,1168427.5,1162468.0,1160050.0,1155701.5,1153125.0,1146817.5,1143056.5,1144781.0,1161259.0
59,Victorville,123089,988,5,45,255,683,2271,590,1061,620,21,366,255416.0,256310.0,257700.0,258876.0,260542.0,261186.0,261281.0,261299.0,261718.0,262900.0,264125.0,265445.0,261233.5
60,Auburn,14201,50,0,8,5,37,237,72,146,19,5,1,471021.0,473889.5,476833.5,479956.5,482531.0,482334.0,479290.5,477124.0,476668.5,477512.0,478303.0,480520.0,477907.5
61,Perris,80500,262,4,6,97,155,2071,268,1248,555,5,7,341174.0,342707.0,345078.0,346784.0,347969.0,348761.0,350616.0,351512.0,351994.0,352387.0,352759.0,354760.0,349688.5
62,Livingston,14607,40,0,1,11,28,315,85,164,66,0,29,268017.0,267533.0,266893.0,268415.0,270196.0,272174.0,272704.0,273289.0,272933.0,272418.0,271733.0,271055.0,271394.0
63,Walnut Creek,70546,120,0,6,40,74,2496,307,2034,155,4,1,991933.0,987454.5,982856.5,978759.0,974835.5,969123.0,956431.0,947757.5,935815.5,938652.5,943198.0,953321.0,962777.0
64,Monterey Park,60424,126,0,7,59,60,1355,267,929,159,0,51,647503.5,645182.5,642135.0,640268.0,639553.5,641120.5,638901.5,640296.0,642417.5,647262.0,648812.0,650454.0,642276.25
65,Susanville,14878,196,0,7,10,179,207,45,157,5,0,60,187074.0,186918.0,186915.0,187313.0,188221.0,188939.0,189052.0,188722.0,188537.0,188722.0,188787.0,188695.0,188616.0
66,Adelanto,34491,276,1,20,42,213,459,136,209,114,14,1,233445.0,234638.0,235892.0,236498.0,237585.0,237840.0,237916.0,237594.0,237711.0,238727.0,240068.0,241286.0,237652.5
67,Calistoga,5341,6,0,0,0,6,70,7,54,9,0,494,975926.0,981550.0,988313.0,989976.0,996271.0,992321.0,979068.0,962413.0,954679.0,952581.0,944093.0,934310.0,977497.0
68,Anaheim,353915,1120,8,141,396,575,8258,1123,5904,1231,44,2,593209.0,591540.0,591681.0,592232.0,594492.0,594921.0,596519.0,598558.0,603368.0,606731.0,608432.0,608804.0,595720.0
69,South El Monte,20852,102,1,11,32,58,500,132,254,114,3,40,506726.0,503437.0,501137.0,500719.0,501550.0,502825.0,499210.0,497413.0,496935.0,500521.0,502900.0,505446.0,501343.5
70,Moreno Valley,210979,847,15,19,290,523,5534,966,3489,1079,9,18,335749.0,337237.5,339295.0,340522.5,341073.0,341612.5,342307.5,342906.5,342622.0,344364.5,345323.0,348484.0,341960.0
71,Lincoln,48625,32,0,4,4,24,468,78,351,39,2,4,479242.0,481222.0,481808.0,483293.0,485652.0,487175.0,487531.0,488748.0,491232.0,492771.0,494560.0,496890.0,487353.0
72,Ceres,49134,209,1,12,59,137,1158,239,628,291,20,16,303401.0,304365.0,304221.0,306717.0,308076.0,309296.0,308392.0,308592.0,308801.0,311200.0,312511.0,314179.0,308492.0
73,Arvin,21811,196,3,3,16,174,437,115,178,144,16,43,177484.0,178916.0,179275.0,179005.0,179347.0,180433.0,180770.0,181092.0,181459.0,182402.0,183703.0,184674.0,180601.5
74,Blythe,19889,92,0,7,29,56,644,177,434,33,44,47,145719.0,146397.0,146887.0,148269.0,149200.0,150260.0,151771.0,153202.0,154277.0,153882.0,152882.0,152862.0,151015.5
75,Woodlake,7682,28,0,4,2,22,88,14,61,13,0,6,186907.0,187346.0,187750.0,188957.0,190330.0,191061.0,190324.0,190533.0,192190.0,195580.0,196760.0,197503.0,190431.5
76,Yuba City,67164,241,3,28,52,158,1823,230,1334,259,7,247,308058.0,308632.5,308799.0,309392.5,311117.5,312984.5,314223.5,316528.5,320407.5,323353.0,323803.5,322349.5,313604.0
77,Long Beach,467974,2369,34,249,958,1128,11297,2185,6754,2358,153,205,539288.0,535704.0,533054.0,533860.0,536608.0,539786.0,537197.0,537188.0,539749.0,546833.0,552037.0,555986.0,538242.5
78,Vista,102227,354,2,38,93,221,1438,251,945,242,6,1,552573.0,550414.0,550333.0,553361.0,554732.0,556381.0,558410.0,560019.0,560313.0,560815.0,563016.0,565589.0,557395.5
79,Los Banos,40607,143,2,12,36,93,886,231,506,149,5,13,317428.0,317356.0,317451.0,319804.0,322610.0,324888.0,324662.0,324328.0,323486.0,323684.0,323222.0,323354.0,323288.0
80,Wheatland,3940,6,0,0,1,5,43,8,26,9,0,6,313761.0,316344.0,317889.0,318117.0,317988.0,320063.0,322227.0,323932.0,323823.0,324373.0,326699.0,329159.0,321145.0
81,Azusa,50405,144,5,17,46,76,959,174,646,139,12,13,475442.0,473370.0,471544.0,471366.0,472188.0,473535.0,472409.0,472123.0,473128.0,475650.0,477931.0,480406.0,473249.0
82,Imperial,18090,5,0,0,1,4,56,10,36,10,0,25,259407.0,258581.0,258497.0,260085.0,261607.0,262963.0,263164.0,262698.0,261342.0,261213.0,262299.0,264708.0,261474.5
83,Santa Paula,30098,91,2,6,21,62,404,103,272,29,3,24,448922.0,450932.0,452404.0,454442.0,456849.0,457593.0,458285.0,458747.0,460057.0,461720.0,461614.0,463727.0,457939.0
84,Firebaugh,8433,11,0,2,2,7,103,15,51,37,0,65,192544.0,192874.5,194606.0,196615.0,197625.5,197300.0,197522.0,196726.5,195340.5,196183.0,198241.0,201752.5,196670.75
85,Novato,56134,148,0,6,26,116,890,102,711,77,3,42,876060.0,878433.0,881159.0,879724.0,878501.0,877288.0,873258.0,865556.0,858419.0,853593.0,852669.0,850942.0,874659.0
86,Oceanside,177129,712,4,97,163,448,3736,426,2858,452,23,38,510457.0,508426.5,508207.5,511531.0,513556.0,515599.0,517422.0,518510.5,518619.0,519199.5,521863.5,524772.5,516510.5
87,Duarte,21550,55,0,2,10,43,305,48,215,42,1,26,530357.0,528611.0,526149.0,525876.0,527103.0,529000.0,527524.0,527905.0,530245.0,535959.0,539481.0,542784.0,528805.5
88,Red Bluff,14308,133,1,26,14,92,787,205,467,115,21,402,242097.0,242774.0,244041.0,246488.0,248760.0,250418.0,251229.0,252289.0,254223.0,256609.0,259029.0,261178.0,250823.5
89,Rialto,103965,595,8,65,185,337,3149,403,2179,567,16,3,373117.5,374173.0,375733.0,376767.5,378386.5,379229.5,379243.5,379998.0,380830.5,382837.5,384533.0,386455.0,379236.5
90,Sunnyvale,154859,259,0,37,84,138,3380,458,2598,324,32,1,1457895.5,1432117.5,1413556.0,1404400.0,1396645.0,1382502.0,1364848.0,1348218.0,1349026.5,1350625.0,1356645.0,1357967.5,1373675.0
91,Oakley,43014,51,0,7,17,27,497,74,336,87,3,139,545124.0,543586.0,539542.0,538177.0,538756.0,540458.0,543666.0,547183.0,549515.0,549949.0,550310.0,553438.0,544395.0
92,San Marcos,98598,193,0,17,46,130,955,163,649,143,3,4,592607.0,590189.5,589602.5,592418.0,593857.0,595399.5,596980.0,598324.5,598585.0,599098.0,600960.5,602515.5,596189.75
93,Hemet,86082,343,5,23,121,194,2877,757,1547,573,21,14,278150.0,279437.0,281209.0,281981.0,282106.0,282122.0,282750.0,283648.0,283924.0,285075.0,285651.0,287908.0,282436.0
94,Bakersfield,388080,1766,34,116,701,915,16074,3888,9277,2909,470,181,211842.0,213074.0,213963.0,214129.0,215076.0,216220.0,217011.0,218095.0,218762.0,219399.0,220085.0,220770.0,216615.5
95,Rancho Cordova,75869,225,5,12,56,152,1422,233,1004,185,4,1,343491.0,343378.0,343153.0,344751.0,346797.0,348261.0,348597.0,348042.0,348683.0,349769.0,353503.0,356967.0,348151.5
96,Coalinga,16356,41,0,2,4,35,217,38,159,20,4,47,184500.0,186193.0,187563.0,187386.0,185628.0,184729.0,186302.0,188580.0,189742.0,189550.0,188968.0,188643.0,187474.5
97,Milpitas,82344,102,2,15,48,37,2193,201,1791,201,2,2,1083199.0,1067889.0,1056120.0,1051118.0,1044653.0,1035546.0,1028578.0,1023625.0,1029770.0,1028084.0,1030109.0,1030751.0,1033148.5
98,Atwater,29632,206,1,10,22,173,1031,140,708,183,0,19,269529.0,268734.0,267933.0,268961.0,270045.0,270494.0,269679.0,269288.0,268997.0,269470.0,269385.0,269440.0,269412.5
99,Ontario,183322,659,10,85,223,341,4290,710,2652,928,31,19,429020.0,430207.0,431983.0,433306.0,435097.0,435897.0,435705.0,436600.0,437443.0,439427.0,440681.0,442129.0,435801.0
100,Tracy,92895,166,5,35,62,64,1843,156,1411,276,14,123,544388.0,543264.0,546478.0,546409.0,547463.0,546673.0,544852.0,542946.0,540284.0,539459.0,539207.0,541660.0,543826.0
101,Union City,75202,277,2,8,79,188,1718,192,1300,226,9,1,937916.0,934435.0,933101.0,931107.0,926603.0,921642.0,913881.0,904609.0,897602.0,894216.0,892163.0,895524.0,917761.5
102,Reedley,25740,117,1,7,12,97,235,69,117,49,5,48,234030.0,234821.0,236397.0,237152.0,237400.0,237473.0,238648.0,240066.0,240775.0,241546.0,241520.0,241799.0,238060.5
103,West Covina,106335,260,6,21,129,104,2369,354,1660,355,15,7,553055.0,550679.0,548832.0,547955.0,547731.0,547792.0,545208.0,544185.0,544333.0,547789.0,550543.0,554015.0,547873.5
104,Murrieta,116413,77,3,19,26,29,1512,206,1080,226,4,29,437408.5,438888.5,441327.0,442138.5,441907.0,441465.0,441378.0,441160.5,440420.5,442080.5,442757.0,446036.5,441421.5
105,Oroville,19268,122,2,24,30,66,822,176,435,211,19,34,222469.5,229189.5,234357.0,237954.0,240451.5,243275.0,247360.5,250865.5,253408.0,253985.0,255384.0,255451.0,245317.75
106,Palmdale,157138,658,8,55,194,401,2230,447,1384,399,17,24,301616.0,301443.0,301451.0,301844.5,302919.0,304463.0,304820.5,305670.0,306884.0,308827.0,310080.0,311503.0,304641.75
107,Davis,69767,107,2,21,44,40,2190,274,1816,100,4,13,673222.5,669666.5,673093.0,679192.5,680893.5,678939.5,677457.0,681000.0,682574.0,678550.0,671930.5,668454.5,678003.5
108,South San Francisco,68251,166,2,19,64,81,1484,230,1074,180,7,1,1049629.0,1044031.0,1041296.0,1044620.0,1047632.0,1050179.0,1050663.0,1050157.0,1054308.0,1054094.0,1058615.0,1063899.0,1050168.0
109,Apple Valley,74051,339,4,19,68,248,1105,230,660,215,11,290,261514.5,262034.5,262776.5,263198.0,264414.0,265199.5,265585.5,265895.0,266079.0,267097.5,268185.0,269286.5,265392.5
110,Stockton,313604,4380,34,181,1158,3007,12367,2209,8480,1678,128,138,268004.0,267821.0,269778.0,270303.0,271400.0,272015.0,272967.0,274208.0,274668.0,274935.0,275385.0,276774.0,272491.0
111,Covina,47985,171,2,25,43,101,1189,239,779,171,11,15,540544.0,538241.0,536121.0,536306.0,537058.0,538374.0,535841.0,535315.0,536169.0,539698.0,542420.0,545216.0,537649.5
112,Winters,7374,11,0,0,1,10,115,19,81,15,3,22,450361.0,448372.0,450536.0,456441.0,459165.0,459153.0,458321.0,460469.0,460759.0,459622.0,458168.0,458471.0,458396.0
